ANO_SAEB;CO_UF;NO_UF;DEPENDENCIA_ADM;LOCALIZACAO;CAPITAL;TX_ALFABETIZADO;MEDIA_2_LP;MEDIA_2_MT
2021;29;Bahia;Total - Federal, Estadual e Municipal;Rural;Interior;49,86;718,22;730,06
2021;23;Ceará;Total - Federal, Estadual, Municipal e Privada;Total;Total;45,75;734,04;749,63
2021;23;Ceará;Total - Federal, Estadual, Municipal e Privada;Total;Capital;27,76;707,95;733,54
2021;23;Ceará;Total - Federal, Estadual, Municipal e Privada;Total;Interior;49,74;739,83;753,2
2021;23;Ceará;Total - Federal, Estadual, Municipal e Privada;Urbana;Total;46,02;735,2;755,14
2021;23;Ceará;Total - Federal, Estadual, Municipal e Privada;Urbana;Capital;27,76;707,95;733,54
2021;23;Ceará;Total - Federal, Estadual, Municipal e Privada;Urbana;Interior;51,31;743,11;761,4
2021;23;Ceará;Total - Federal, Estadual, Municipal e Privada;Rural;Total;44,63;729,13;726,47
2021;23;Ceará;Total - Federal, Estadual, Municipal e Privada;Rural;Interior;44,63;729,13;726,47
2021;23;Ceará;Federal;Total;Total;0;;
2021;23;Ceará;Federal;Total;Capital;0;;
2021;23;Ceará;Federal;Total;Interior;0;;
2021;23;Ceará;Federal;Urbana;Total;0;;
2021;23;Ceará;Federal;Urbana;Capital;0;;
2021;23;Ceará;Federal;Urbana;Interior;0;;
2021;23;Ceará;Federal;Rural;Total;0;;
2021;23;Ceará;Federal;Rural;Interior;0;;
2021;23;Ceará;Estadual;Total;Total;54,64;749,38;772,36
2021;23;Ceará;Estadual;Total;Capital;97,18;815,58;817,63
2021;23;Ceará;Estadual;Total;Interior;38,96;724,96;755,67
2021;23;Ceará;Estadual;Urbana;Total;80,27;792,44;813,84
2021;23;Ceará;Estadual;Urbana;Capital;97,18;815,58;817,63
2021;23;Ceará;Estadual;Urbana;Interior;60,87;765,91;809,5
2021;23;Ceará;Estadual;Rural;Total;28,57;705,56;730,16
2021;23;Ceará;Estadual;Rural;Interior;28,57;705,56;730,16
2021;23;Ceará;Municipal;Total;Total;44,88;732,61;748,94
2021;23;Ceará;Municipal;Total;Capital;27,27;707,19;732,95
2021;23;Ceará;Municipal;Total;Interior;49,39;739,13;753,04
2021;23;Ceará;Municipal;Urbana;Total;44,9;733,49;755,09
2021;23;Ceará;Municipal;Urbana;Capital;27,27;707,19;732,95
2021;23;Ceará;Municipal;Urbana;Interior;51,09;742,73;762,87
2021;23;Ceará;Municipal;Rural;Total;44,8;729,38;726,38
2021;23;Ceará;Municipal;Rural;Interior;44,8;729,38;726,38
2021;23;Ceará;Privada;Total;Total;52,31;744,74;754,18
2021;23;Ceará;Privada;Total;Capital;0;;
2021;23;Ceará;Privada;Total;Interior;52,31;744,74;754,18
2021;23;Ceará;Privada;Urbana;Total;52,27;744,68;754,13
2021;23;Ceará;Privada;Urbana;Capital;0;;
2021;23;Ceará;Privada;Urbana;Interior;52,27;744,68;754,13
2021;23;Ceará;Privada;Rural;Total;83,33;797,17;795,49
2021;23;Ceará;Privada;Rural;Interior;83,33;797,17;795,49
2021;23;Ceará;Total - Estadual e Municipal;Total;Total;44,93;732,7;749,06
2021;23;Ceará;Total - Estadual e Municipal;Total;Capital;27,76;707,95;733,54
2021;23;Ceará;Total - Estadual e Municipal;Total;Interior;49,34;739,06;753,05
2021;23;Ceará;Total - Estadual e Municipal;Urbana;Total;45,02;733,69;755,3
2021;23;Ceará;Total - Estadual e Municipal;Urbana;Capital;27,76;707,95;733,54
2021;23;Ceará;Total - Estadual e Municipal;Urbana;Interior;51,11;742,78;762,97
2021;23;Ceará;Total - Estadual e Municipal;Rural;Total;44,6;729,09;726,43
2021;23;Ceará;Total - Estadual e Municipal;Rural;Interior;44,6;729,09;726,43
2021;23;Ceará;Total - Federal, Estadual e Municipal;Total;Total;44,93;732,7;749,06
2021;23;Ceará;Total - Federal, Estadual e Municipal;Total;Capital;27,76;707,95;733,54
2021;23;Ceará;Total - Federal, Estadual e Municipal;Total;Interior;49,34;739,06;753,05
2021;23;Ceará;Total - Federal, Estadual e Municipal;Urbana;Total;45,02;733,69;755,3
2021;23;Ceará;Total - Federal, Estadual e Municipal;Urbana;Capital;27,76;707,95;733,54
2021;23;Ceará;Total - Federal, Estadual e Municipal;Urbana;Interior;51,11;742,78;762,97
2021;23;Ceará;Total - Federal, Estadual e Municipal;Rural;Total;44,6;729,09;726,43
2021;23;Ceará;Total - Federal, Estadual e Municipal;Rural;Interior;44,6;729,09;726,43
